title	text
Anchor M	"Anchor M
The powerful nylon expansion anchor with brass cone for metric threads
The fischer anchor M is an expansion plug made from high-quality nylon with a brass cone for holding a metric thread. The fischer anchor M is primarily suitable for fixing machines, Protective grilles and control boxes in solid building materials. The expansion plug is set in a pre-positioned installation. As the screw or threaded rod is rotated, the internal brass cone expands and the plug anchors itself against the wall of the drill hole. The plug's large external diameter allows a large applied load in the building material. This increases the load-bearing capacity.
Applications: Machines,Curbs,Control boxes
Advantages: The anchor's large external diameter helps to achieve a large applied load in the building material. This allows for maximum load-bearing capacity.,The anchor's high expansion makes it insensitive to building material tolerances. This guarantees a simple and secure installation.,The internal thread allows for the use of standard metric screws or threaded rods, and for surface flush removal and reuse of the fixing point. This provides great flexibility.
Materials: Machines,Curbs,Control boxes"
Aircrete anchor GB	"Aircrete anchor GB
The special plug for different fixings in aerated concrete
The fischer aircrete anchor GB is a special anchor for different fixings in aerated concrete. The GB 10 in combination with the fischer safety screw is also approved for safety-relevant fixings in aerated concrete. The fischer GB is ideal for fixing façade and roof constructions as well as railings in aerated concrete. The GB, made from high-quality nylon, is hammered in after pre-drilling. Can be applied with a hammer - there is no need for special tools, thus saving time and money for the installation. The characteristic outer ribs create a tight connection between anchor and building material and guarantee optimum pressure distribution and load bearing values.
Applications: Light cable trays,Pipelines,Guard rails,Façade and roof constructions made of wood and metal,Light canopy brackets,Letter boxes,Trellis
Advantages: The general building approval guarantees approved safety for use in safety-relevant applications.,The spiral-shaped outer ribs cut a positive fit in the soft building material, thus ensuring the best pressure distribution and load-bearing capacity.,Can be applied with a hammer - there is no need for special tools, thus saving time and money for the installation.,The GB can also be used safely outside (e.g. in façade installation) when combined with the approved fischer safety screw in A4.
Materials: Light cable trays,Pipelines,Guard rails,Façade and roof constructions made of wood and metal,Light canopy brackets,Letter boxes,Trellis"
Aircrete anchor GB Green	"Aircrete anchor GB Green
Secure in aerated concrete
The fischer aircrete anchor GB Green is a special anchor for different fixings in aerated concrete. The aircrete anchor is ideal for fixing façade and roof constructions as well as railings in aerated concrete. The anchor is made from more than 50% renewable raw materials. The fischer GB Green has the same performance features and same load-bearing capacity as the grey original. In pre-positioning installation the fischer GB Green is hammered in after pre-drilling. The characteristic outer ribs create a tight connection between anchor and building material and guarantee optimum pressure distribution and hold.
Applications: Pipelines,Letter boxes,Anopy brackets,Handles,Gratings,Electrical installations
Advantages: Produced with at least 50% renewable raw materials and therefore particularly environmentally friendly.,The spiral-shaped outer ribs cut a positive fit in the soft building material, thus ensuring best pressure distribution and load-bearing capacity.,Can be applied with a hammer – there is no need for special tools, thus saving time and money for the installation.
Materials: Pipelines,Letter boxes,Anopy brackets,Handles,Gratings,Electrical installations"
Safety screw for GB	"Safety screw for GB
Safety-screw for approved safety in aerated concrete
The screw geometry of the fischer safety screw is ideally matched to the fischer aircrete anchor GB. By using the safety screw, the GB can be used for safety-relevant fixings and achieves the maximum load-bearing capacity. The screws are available for dimensions GB 8, 10 and 14 with countersunk head with T-drive and with hexagonal heads. The GB 10 together with the safety screw made from stainless steel A4 is ideal for approved fixings outside, such as for fixing façade sub-structures.
Applications: For safety-relevant applications in combination with fischer aircrete anchor GB in aerated concrete
Advantages: Approved safety outside when using the stainless steel A4 fischer safety screw.,Optimum load bearing values thanks to matched screw geometry.
Materials: For safety-relevant applications in combination with fischer aircrete anchor GB in aerated concrete"
Turbo aircrete anchor FTP K	"Turbo aircrete anchor FTP K
The versatile nylon anchor for aerated concrete
The fischer Turbo aerated concrete anchor FTP K is a special anchor for fixing in aerated concrete. The fischer FTP K is ideal for securely fixing pictures, lights, cable and pipe brackets in aerated concrete. After pre-drilling, the anchor, made from high-quality nylon, is inserted in pre-positioned installation using the setting tool FTP EK. The setting tools simplifies installation. The spiral-shaped outer thread taps itself into the building material with a positive fit, thus ensuring a secure hold. By holding wood screws and metric screws, the special anchor allows a flexible screw selection.
Applications: Pictures,Lighting,Shelves,Mirror cabinets,Letter boxes,Signs,Motion detectors,Cable and pipe clips,Stand-off installations
Advantages: The FTP K is suitable for both wood screws and metric screws, and thus offers flexibility in screw choice.,The spiral-shaped outer thread taps itself into the soft aerated concrete with a positive fit, thus ensuring a secure hold.,Setting with the FTP EK setting tool requires only a small amount of force. For a convenient installation.,The special geometry allows for an almost expansion-force-free anchoring. This allows for small edge and spacing distances, and avoids splitting in the case of plastered surfaces.
Materials: Pictures,Lighting,Shelves,Mirror cabinets,Letter boxes,Signs,Motion detectors,Cable and pipe clips,Stand-off installations"
PowerFast FPF II CZP BC	"PowerFast FPF II CZP BC
The chipboard screw with countersunk head, cross drive PZ and partial thread
The fischer chipboard screw PowerFast FPF II CZP a blue passivated zinc plating screw with a countersunk head, cross drive PZ and partial thread. The countersunk head allows for surface flush installation in wood. The version with a partial thread enables the timber elements to be fastened together tightly. The screw is suitable for fixing load-bearing components in coated wood, hardwood, softwood, and timber connections.
Applications: For use in load-bearing wooden constructions, for the connection of solid wood parts as well as glued laminated timber, cross laminated timber, etc.,For metal parts to wood, e.g. metal fittings, angles, beam shoes and other metal and wood connections.,Suitable for use with fischer plugs and recommended loads.
Advantages: The screw geometry of the PowerFast II enables fast applications.,Installation is easy, comfortable and flexible.,The chipboard screw has significantly reduced splitting behavior in comparison with standard chipboard screws.,The PowerFast II with high performance wax coating reduces screw-in torque and allows smooth installation.,The blue passivated zinc plating does not contain chrome VI and is therefore environmentally friendly.
Materials: For use in load-bearing wooden constructions, for the connection of solid wood parts as well as glued laminated timber, cross laminated timber, etc.,For metal parts to wood, e.g. metal fittings, angles, beam shoes and other metal and wood connections.,Suitable for use with fischer plugs and recommended loads."
PowerFast FPF II CZF BC	"PowerFast FPF II CZF BC
The chipboard screw with countersunk head, cross drive PZ and full thread
The fischer chipboard screw PowerFast FPF II CZF a blue passivated zinc plating screw with a countersunk head, cross drive PZ and full thread. The countersunk head allows for surface flush installation in wood. The integrated thread, which runs throughout the entire screw length, ensures the optimum transfer of force. The screw is suitable for fixing load-bearing components in coated wood, hardwood, softwood, and timber connections. This is the case for car port fixings and when erecting balconies.
Applications: For use in load-bearing wooden constructions, for the connection of solid wood parts as well as glued laminated timber, cross laminated timber, etc.,For metal parts to wood, e.g. metal fittings, angles, beam shoes and other metal and wood connections.,Suitable for use with fischer plugs and recommended loads.
Advantages: The screw geometry of the PowerFast II enables fast applications.,Installation is easy, comfortable and flexible.,The chipboard screw has significantly reduced splitting behavior in comparison with standard chipboard screws.,The PowerFast II with high performance wax coating reduces screw-in torque and allows smooth installation.,The blue passivated zinc plating does not contain chrome VI and is therefore environmentally friendly.
Materials: For use in load-bearing wooden constructions, for the connection of solid wood parts as well as glued laminated timber, cross laminated timber, etc.,For metal parts to wood, e.g. metal fittings, angles, beam shoes and other metal and wood connections.,Suitable for use with fischer plugs and recommended loads."
PowerFast FPF-SZ P	"PowerFast FPF-SZ P
Chipboard screws with countersunk head, PZ cross drive, and partial thread
The fischer chipboard screw PowerFast FPF-SZ P with countersunk head, PZ cross drive and partial thread is a universal chipboard screw that is suitable for work in hardwood as well as in the usual softwood. The countersunk head with PZ cross drive enables the easy and safe positioning of the tool. The partial thread design enables the firm attachment of wooden elements to each other. The European Technical Approval guarantees added safety. The PowerFast is particularly easy to screw in without pre-drilling thanks to the thread shape. This means that less force and battery power are required. The optimised head geometry and underhead milled ribbing enable screwing close to edges with no crack formation and a perfect surface finish.
Applications: General wood joints,Safety-relevant applications,Plankings,Door and metal fittings
Advantages: The unique PowerFast thread reaches into the screw tip and ensures a fast bite. This makes your work noticeably easier with all wood materials.,The shank ribs (for screws with partial thread from 50 mm in length and up) substantially reduce drive-in resistance and thus enable greater power and battery conservation in your work.,The optimised head geometry enables an exact and splinter-free surface finish without the screw twisting off, even with connections close to the edge.,The underhead milled ribbing ensures an attractive surface finish.,The high-performance easy-glide coating reduces friction and accelerates the screwing process.,The ETA approval guarantees the high safety and premium quality of fischer PowerFast screws in soft and hard woods.
Materials: General wood joints,Safety-relevant applications,Plankings,Door and metal fittings"
PowerFast FPF-SZ F	"PowerFast FPF-SZ F
Chipboard screws with countersunk head, PZ cross drive, and full thread
The fischer chipboard screw PowerFast FPF-SZ F with countersunk head, PZ cross drive and full thread is a universal chipboard screw that is suitable for work in hardwood as well as in the usual softwood. The countersunk head with PZ cross drive enables the easy and safe positioning of the tool. The PowerFast thread reaches into the screw tip and ensures a fast bite. The European Technical Approval guarantees added safety. The PowerFast is particularly easy to screw in without pre-drilling thanks to the thread shape. This means that less force and battery power are required. The optimised head geometry and underhead milled ribbing enable screwing close to edges with no crack formation and a perfect surface finish.
Applications: General wood joints,Safety-relevant applications,Plankings,Door and metal fittings
Advantages: The unique PowerFast thread reaches into the screw tip and ensures a fast bite. This makes your work noticeably easier with all wood materials.,The shank ribs (for screws with partial thread from 50 mm in length and up) substantially reduce drive-in resistance and thus enable greater power and battery conservation in your work.,The optimised head geometry enables an exact and splinter-free surface finish without the screw twisting off, even with connections close to the edge.,The underhead milled ribbing ensures an attractive surface finish.,The high-performance easy-glide coating reduces friction and accelerates the screwing process.,The ETA approval guarantees the high safety standard and the premium quality of fischer PowerFast screws.
Materials: General wood joints,Safety-relevant applications,Plankings,Door and metal fittings"
ClassicFast FSP II CTP BC	"ClassicFast FSP II CTP BC
Chipboard screws FSP II with countersunk head, TX star recess drive, and partial thread
The fischer FSP II CTP BC is a zinc-plated, blue-passivated chipboard screw with a countersunk head, TX star recess seat, and partial thread. The cost-effective chipboard screw is suitable for processing in numerous types of wood. The countersunk head with TX star recess drive guarantees top force transmission with maximum bit stability for flush screwing operations. The partial thread also enables the firm attachment of wooden elements to each other. CE conformity ensures added safety.
Applications: 
Advantages: The chipboard screws can be used universally in all wooden materials.,The screws offer lasting safety thanks to their CE conformity.,The countersunk head ensures an appealing surface appearance.,The partial thread creates an effect of the pulling together of the wooden parts to be joined.
Materials: "
ClassicFast FSP II CTF BC	"ClassicFast FSP II CTF BC
Chipboard screws FSP II with countersunk head, TX star recess drive, and full thread
The fischer FSP II CTF BC is a zinc-plated, blue-passivated chipboard screw with a countersunk head, TX star recess seat, and full thread. The cost-effective chipboard screw is suitable for processing in numerous types of wood. The countersunk head with TX star recess drive guarantees top force transmission with maximum bit stability for flush screwing operations. The full thread offers increased extraction resistance thanks to the longer thread. CE conformity ensures added safety.
Applications: General wood joints,Plankings,Door and metal fittings,Skirting,Finger tightening elements,Wooden fences,Typically used for wood-wood connections
Advantages: The chipboard screws can be used universally in all wooden materials.,The screws offer lasting safety thanks to their CE conformity.,The countersunk head ensures an appealing surface appearance.,The full thread offers increased extraction resistance thanks to the longer thread.
Materials: General wood joints,Plankings,Door and metal fittings,Skirting,Finger tightening elements,Wooden fences,Typically used for wood-wood connections"
ClassicFast FSP II CZP BC	"ClassicFast FSP II CZP BC
Chipboard screws FSP II with countersunk head, PZ cross drive, and partial thread
The fischer FSP II CZP BC is a zinc-plated, blue-passivated chipboard screw with a countersunk head, PZ cross drive, and partial thread. The cost-effective chipboard screw is suitable for processing in numerous types of wood. The countersunk head with PZ cross drive enables the easy and safe positioning of the tool. The partial thread design enables the firm attachment of wooden elements to each other. CE conformity ensures added safety.
Applications: General wood joints,Plankings,Door and metal fittings,Skirting,Finger tightening elements,Wooden fences,Typically used for wood-wood connections
Advantages: The chipboard screws can be used universally in all wooden materials.,The screws offer lasting safety thanks to their CE conformity.,The countersunk head ensures an appealing surface appearance.,The partial thread creates an effect of the pulling together of the wooden parts to be joined.
Materials: General wood joints,Plankings,Door and metal fittings,Skirting,Finger tightening elements,Wooden fences,Typically used for wood-wood connections"
ClassicFast FSP II CZF BC	"ClassicFast FSP II CZF BC
Chipboard screws FSP II with countersunk head, PZ cross drive, and full thread
The fischer FSP II CZF BC is a zinc-plated, blue-passivated chipboard screw with a countersunk head, PZ cross drive, and full thread. The cost-effective chipboard screw is suitable for processing in numerous types of wood. The countersunk head with PZ cross drive enables the easy and safe positioning of the tool. The full thread offers increased extraction resistance thanks to the longer thread. CE conformity ensures added safety.
Applications: General wood joints,Plankings,Door and metal fittings,Skirting,Finger tightening elements,Wooden fences,Typically used for wood-wood connections
Advantages: The chipboard screws can be used universally in all wooden materials.,The screws offer lasting safety thanks to their CE conformity.,The countersunk head ensures an appealing surface appearance.,The full thread offers increased extraction resistance thanks to the longer thread.
Materials: General wood joints,Plankings,Door and metal fittings,Skirting,Finger tightening elements,Wooden fences,Typically used for wood-wood connections"
ClassicFast FSP II CZP YC	"ClassicFast FSP II CZP YC
Chipboard screws FSP II with countersunk head, PZ cross drive, and partial thread
The fischer FSP II CZP YC is a zinc-plated, yellow-passivated chipboard screw with a countersunk head, PZ cross drive, and partial thread. The cost-effective chipboard screw is suitable for processing in numerous types of wood. The countersunk head with PZ cross drive enables the easy and safe positioning of the tool. The partial thread design enables the firm attachment of wooden elements to each other. CE conformity ensures added safety.
Applications: General wood joints,Plankings,Door and metal fittings,Skirting,Finger tightening elements,Wooden fences,Typically used for wood-wood connections
Advantages: The chipboard screws can be used universally in all wooden materials.,The screws offer lasting safety thanks to their CE conformity.,The countersunk head ensures an appealing surface appearance.,The partial thread creates an effect of the pulling together of the wooden parts to be joined.
Materials: General wood joints,Plankings,Door and metal fittings,Skirting,Finger tightening elements,Wooden fences,Typically used for wood-wood connections"
ClassicFast FSP II CZF YC	"ClassicFast FSP II CZF YC
Chipboard screws FSP II with countersunk head, PZ cross drive, and full thread
The fischer FSP II CZF YC is a zinc-plated, yellow-passivated chipboard screw with a countersunk head, PZ cross drive, and full thread. The cost-effective chipboard screw is suitable for processing in numerous types of wood. The countersunk head with PZ cross drive enables the easy and safe positioning of the tool. The full thread offers increased extraction resistance thanks to the longer thread. CE conformity ensures added safety.
Applications: General wood joints,Plankings,Door and metal fittings,Skirting,Finger tightening elements,Wooden fences,Typically used for wood-wood connections
Advantages: The chipboard screws can be used universally in all wooden materials.,The screws offer lasting safety thanks to their CE conformity.,The countersunk head ensures an appealing surface appearance.,The full thread offers increased extraction resistance thanks to the longer thread.
Materials: General wood joints,Plankings,Door and metal fittings,Skirting,Finger tightening elements,Wooden fences,Typically used for wood-wood connections"
PowerFast FPF-ST ZPP	"PowerFast FPF-ST ZPP
The powerful wood construction screws with countersunk head, TX star recess drive and partial thread
The fischer wood construction screw PowerFast FPF-ST ZPP is a powerful wood construction screw with a countersunk head, TX star recess drive and partial thread for use in timber constructions. The countersunk head with TX star recess drive guarantees top force transmission with maximum bit stability for flush screwing operations. The partial thread also enables the firm attachment of wooden elements to each other. The European Technical Approval guarantees added safety. The PowerFast is particularly easy to screw in without pre-drilling thanks to the thread shape. The PowerFast thread reaches into the screw tip and ensures a fast bite. The shank ribs reduce the screwing resistance, thus decreasing the required force and battery power for the installation.
Applications: Safety-relevant applications,Wood frame construction,Post construction,Timber houses,Rooftop insulation systems,Car ports,Conservatories,Playground equipment
Advantages: The unique PowerFast thread reaches into the screw tip and ensures a fast bite. This makes installation simple and safe even with large dimensions, in particular for load-bearing wood structures.,The shank ribs reduce drive-in resistance and thereby enable power and battery conservation in your work.,The high-performance easy-glide coating reduces friction and accelerates the screwing process.,The ETA approval guarantees the high safety standard and the premium quality of fischer PowerFast screws.
Materials: Safety-relevant applications,Wood frame construction,Post construction,Timber houses,Rooftop insulation systems,Car ports,Conservatories,Playground equipment"
